Colonia,El patrimonio,La familia,La libertad y la seguridad sexual,La vida y la integridad corporal,Superficie en kilómetros cuadrados,Población femenina,Población masculina,Niños 3 - 14 años,Población en hogares censales indígenas,Población con discapacidad,Población que no asiste a la escuela,Población de 12 años y más no económicamente activa,Población de 12 años y más desocupada,Viviendas sin medio de transporte,Viviendas sin tecnologías
1 DE MAYO,78,26,7,20,"351.017,92","1,454","1,379",846,27,208,273,874,14,307,2
12 DE DICIEMBRE,33,21,3,9,"153.512,05",996,981,750,317,41,224,513,15,213,6
18 DE MARZO,647,41,7,31,"620.354,35","2,612","2,358","1,046",19,312,482,"1,725",67,434,4
20 DE NOVIEMBRE,240,44,8,51,"192.638,29","2,452","2,377","1,563",16,214,526,"1,241",41,538,8
27 DE SEPTIEMBRE,27,5,0,3,"496.344,18","1,029",906,539,16,106,229,562,16,202,5
3 FLORES,2,1,0,0,"874.024,19",66,52,43,0,4,5,26,0,6,0
4 ESTACIONES,68,26,2,13,"243.466,24","1,913","1,917","1,62",16,139,424,976,21,439,6
5 DE MAYO,399,75,16,73,"29.178,76","6,611","6,327","3,858",62,748,"1,185","3,605",86,"1,273",11
5 DE NOVIEMBRE,4,0,0,0,"153.844,29",292,287,267,69,11,67,109,6,79,3
8 DE JULIO,830,26,9,32,"261.599,72","1,434","1,22",514,17,185,238,759,20,286,7
AARON JOAQUIN,232,22,9,23,"377.105,78","3,271","3,105","1,813",53,338,747,"1,815",57,546,8
ABADIA SAN MARTIN,1,0,0,0,"68.389,52",0,0,0,0,0,0,0,0,0,0
ACUEDUCTO SAN AGUSTIN,15,0,0,0,"109.277,93",10,16,3,0,1,1,1,1,4,0
ACUEDUCTO SAN JAVIER,2,0,0,1,"41.803,77",131,144,82,0,5,20,70,0,8,0
AGRARIA,88,2,0,3,"67.076,70",265,228,108,6,8,48,118,6,16,1
AGRICOLA,235,23,8,33,"280.241,23","1,729","1,697","1,093",195,192,311,885,28,363,1
AGUA BLANCA,24,5,0,10,"964.765,98",0,0,0,0,0,0,0,0,0,0
AGUA BLANCA INDUSTRIAL,103,12,5,20,"77.064,98",261,225,123,0,15,90,133,6,41,0
AGUA BLANCA POBLADO,187,11,4,12,"120.550,70",678,624,423,81,83,139,435,12,134,5
AGUA BLANCA SUR,56,7,1,9,"620.958,79",190,184,82,36,17,69,122,5,30,5
AGUA ESCONDIDA,61,9,4,19,"25.564,45","1,05","1,012",865,62,62,236,494,16,229,5
AGUA FRIA,96,45,28,29,"99.800,94","4,309","4,184","2,46",79,319,665,"1,766",50,870,15
AGUSTIN YAÃ‘EZ (LA FLORIDA),446,62,7,52,"99.800,94","4,309","4,184","2,46",79,319,665,"1,766",50,870,15
ALAMEDA,60,9,4,11,"140.879,67","1,231","1,253",869,3,189,262,635,22,244,0
ALAMEDAS DE TESISTAN,4,4,0,2,"499.500,10",271,233,166,0,15,64,152,2,37,0
ALAMEDAS DE ZALATITAN,463,116,35,100,"1.729.975,05","7,98","8,002","5,67",53,689,"1,673","4,306",114,"1,8",13
ALAMITOS,8,3,1,1,"195.264,58",27,27,24,5,1,3,11,1,3,0
ALAMO INDUSTRIAL,647,8,5,30,"1.038.539,25",543,554,323,5,22,114,289,8,72,5
ALAMO LOMAS,76,8,0,12,"2.549.614,67",483,443,154,7,55,79,293,6,73,0
